Timestamp,Count
12:28:54,1
12:28:55,2
12:28:55,1
12:29:0,1
12:29:0,2
12:29:1,1
12:29:2,2
12:29:6,1
12:29:7,2
12:29:8,1
12:30:52,1
12:30:54,2
12:31:25,3
12:31:27,4
12:31:28,3
12:31:28,2
12:31:29,3
12:31:35,1
12:31:37,3
12:31:38,4
12:31:39,3
12:31:40,1
12:31:40,2
12:31:43,1
12:31:44,2
12:31:45,1
12:31:47,1
12:31:49,1
12:31:49,2
12:31:52,1
12:31:53,1
12:31:54,2
12:31:55,1
12:31:57,1
12:32:0,1
12:32:2,2
12:32:4,1
12:32:5,1
12:32:7,2
12:32:15,2
12:32:16,2
12:32:17,1
12:32:17,2
12:32:22,1
12:32:26,2
12:32:27,1
12:32:27,2
12:32:30,1
12:32:33,1
12:32:34,2
12:32:38,1
12:32:41,2
12:32:41,1
12:32:45,1
12:32:46,2
12:32:48,1
12:32:49,2
12:32:58,1
12:32:58,2
12:33:3,1
12:33:4,2
12:33:9,1
12:33:10,2
12:33:12,1
12:33:13,2
12:33:18,1
12:33:19,2
12:33:20,1
12:33:23,2
12:33:44,1
12:33:45,2
12:33:53,1
12:33:53,2
12:34:0,2
12:34:5,1
12:34:6,3
12:34:7,2
12:34:10,1
12:34:11,2
12:34:14,1
12:34:15,2
12:34:23,1
12:34:24,2
12:34:31,2
12:34:34,1
12:34:37,2
12:34:47,1
12:34:48,2
12:34:51,1
12:34:52,2
12:34:52,1
12:35:2,1
12:35:12,1
12:35:15,2
12:35:16,1
12:35:19,2
12:35:22,1
12:35:27,2
12:35:29,1
12:35:32,2
12:35:34,1
12:35:53,2
12:35:53,1
12:35:55,2
12:35:58,1
12:35:59,2
12:36:0,1
12:36:13,2
12:36:14,1
12:36:29,2
12:36:30,1
12:36:31,2
12:36:31,1
12:36:32,2
12:36:35,1
12:36:35,2
12:36:37,1
12:36:38,2
12:36:39,1
12:36:41,1
12:36:44,1
12:36:47,1
12:36:48,2
12:36:50,1
12:36:51,2
12:36:51,1
12:36:53,1
12:36:57,1
12:37:6,1
12:37:7,1
12:37:11,2
12:37:12,1
12:37:13,2
12:37:16,1
12:37:17,2
12:37:17,1
12:37:18,2
12:37:20,1
12:37:23,1
12:37:24,2
12:37:25,1
12:37:28,2
12:37:28,1
12:37:29,2
12:37:32,1
12:37:32,2
12:37:35,1
12:37:37,1
12:37:38,1
12:37:39,2
12:37:40,1
12:37:41,2
12:37:45,1
12:37:45,2
12:37:55,1
12:37:57,2
12:38:5,1
12:38:6,2
12:38:7,1
12:38:10,1
12:38:10,2
12:38:11,1
12:38:12,2
12:38:24,1
12:38:27,2
12:38:27,1
12:38:28,2
12:38:29,1
12:38:31,2
12:38:52,1
12:38:54,2
12:38:56,1
12:39:0,2
12:39:0,1
12:39:2,2
12:39:6,1
12:39:7,2
12:39:8,1
12:39:8,2
12:39:10,1
12:39:10,2
12:39:11,1
12:39:18,2
12:39:18,1
12:39:21,2
12:39:22,1
12:39:23,2
12:39:31,1
12:39:31,2
12:39:33,1
12:39:33,2
12:39:34,1
12:39:35,2
12:39:36,1
12:39:37,2
12:39:40,1
12:39:40,2
12:39:41,1
12:39:42,2
12:39:43,1
12:39:58,1
12:40:26,2
12:40:29,1
12:40:42,1
12:40:46,1
12:40:54,2
12:40:56,1
12:41:1,1
12:41:16,2
12:41:17,1
12:41:18,1
12:41:19,1
12:41:21,1
12:41:28,1
12:41:32,1
12:41:34,1
12:41:36,1
12:41:37,1
12:41:38,1
12:42:30,1
12:42:32,1
12:42:34,1
12:42:41,1
12:42:44,1
12:42:45,1
12:42:50,1
12:42:51,1
12:42:52,1
12:42:58,2
12:42:58,1
12:46:14,1
12:46:16,1
12:46:54,1
12:46:55,1
12:46:57,1
12:47:7,1
12:47:14,1
12:47:16,1
12:47:19,1
12:47:22,1
12:47:23,1
12:47:25,1
12:47:42,1
12:47:47,1
12:57:24,1
12:57:25,1
12:57:27,1
12:57:34,1
12:57:35,1
12:57:40,1
12:57:41,1
12:57:43,1
12:57:45,1
12:57:47,1
12:57:48,1
12:58:6,1
12:58:51,1
12:58:52,1
12:58:53,1
12:58:56,2
12:58:57,1
12:58:58,2
12:58:58,1
12:58:59,2
12:59:0,1
12:59:0,2
12:59:1,1
12:59:1,2
12:59:2,1
12:59:3,2
12:59:3,1
13:0:31,1
13:0:34,1
13:0:35,2
13:0:37,1
13:0:51,2
13:0:52,1
13:3:7,1
13:3:8,1
13:3:10,1
13:5:11,1
13:5:13,1
13:5:24,2
13:5:24,1
13:6:21,1
