Timestamp,Count
12:27:31,1
12:29:8,1
12:29:8,2
12:29:10,1
12:29:12,1
12:29:13,2
12:29:13,1
12:29:16,2
12:29:16,1
12:29:17,2
12:29:18,1
12:29:19,1
12:29:21,1
12:29:23,1
12:29:24,2
12:29:24,1
12:29:25,2
12:29:25,1
12:29:27,1
12:29:34,1
12:29:43,1
12:29:47,1
12:29:51,1
12:29:53,1
12:29:54,2
12:29:55,1
12:29:55,2
12:29:57,1
12:30:12,1
12:30:12,2
12:30:13,1
12:30:18,2
12:30:19,1
12:30:24,2
12:30:25,1
12:30:33,1
12:30:34,1
12:30:38,1
12:30:41,1
12:30:41,2
12:30:42,1
12:30:43,2
12:30:44,1
12:30:47,1
12:30:48,2
12:30:50,2
12:30:51,1
12:41:41,1
12:41:48,1
12:41:49,2
12:41:49,1
12:42:7,1
12:42:18,2
12:42:18,1
12:42:19,1
12:42:20,1
12:42:21,2
12:42:22,1
12:42:23,1
12:42:24,2
12:42:25,1
12:42:40,2
12:42:41,1
12:42:41,2
12:42:44,2
12:42:45,1
12:42:45,2
12:42:46,2
12:42:48,1
12:42:49,1
12:42:52,2
12:42:52,1
12:42:54,2
12:42:55,1
12:42:56,1
12:43:4,1
12:43:6,2
12:43:7,1
12:43:7,2
12:43:8,2
12:43:9,1
12:43:10,2
12:43:12,1
12:43:15,2
12:43:17,1
12:43:21,2
12:43:22,1
12:43:27,1
12:43:32,1
12:43:33,2
12:43:33,1
12:43:34,2
12:43:34,1
12:43:35,2
12:43:36,1
12:43:37,2
12:43:39,1
12:43:44,2
12:43:45,1
12:43:47,2
12:43:47,1
12:43:51,2
12:43:52,1
12:43:56,2
12:43:58,1
12:44:4,1
12:44:9,2
12:44:16,2
12:44:17,1
12:44:17,2
12:44:18,1
12:44:18,2
12:44:19,1
12:44:20,2
12:44:24,1
12:44:26,2
12:44:27,1
12:44:29,2
12:44:33,1
12:44:35,2
12:44:35,1
12:44:36,2
12:44:36,1
12:44:37,2
12:44:39,1
12:44:40,2
12:44:41,1
12:44:42,2
12:44:42,1
12:44:47,2
12:44:47,1
12:44:48,2
12:44:48,1
12:44:49,2
12:44:50,1
12:44:53,2
12:44:57,1
12:45:0,1
12:45:1,2
12:45:2,1
12:45:3,3
12:45:4,2
12:45:5,1
12:45:6,2
12:45:6,1
12:45:7,2
12:45:8,1
12:45:14,2
12:45:14,1
12:45:18,2
12:45:19,1
12:45:22,1
12:45:23,2
12:45:24,1
12:45:26,2
12:45:28,1
12:45:31,2
12:45:32,1
12:45:35,2
12:45:37,1
12:45:46,2
12:45:47,1
12:45:47,2
12:45:49,1
12:45:52,2
12:45:53,1
12:45:54,2
12:45:58,1
12:46:0,2
12:46:1,1
12:46:2,2
12:46:3,1
12:46:6,1
12:46:7,2
12:46:8,1
12:46:18,2
12:46:22,1
12:46:27,2
12:46:29,1
12:46:30,2
12:46:31,1
12:46:33,2
12:46:34,1
12:46:35,2
12:46:37,1
12:46:38,2
12:46:39,1
12:46:39,2
12:46:41,1
12:46:42,2
12:46:49,1
12:46:49,2
12:46:55,1
12:46:56,2
12:47:0,1
12:47:2,2
12:47:4,3
12:47:4,1
12:47:9,2
12:47:10,1
12:47:11,2
12:47:13,1
12:47:13,2
12:47:14,1
12:47:24,1
12:47:26,1
12:47:28,1
12:47:29,2
12:47:34,1
12:47:38,2
12:47:41,1
12:47:58,1
12:48:48,1
12:48:50,1
12:48:52,1
12:57:36,1
12:59:4,1
12:59:6,2
12:59:7,1
12:59:8,2
12:59:9,1
12:59:9,2
12:59:11,2
12:59:11,1
12:59:14,2
12:59:14,1
12:59:23,2
12:59:24,1
12:59:31,1
12:59:34,1
12:59:36,2
12:59:56,1
12:59:56,2
12:59:59,1
13:0:0,1
13:0:1,2
13:0:2,1
13:0:3,2
13:0:4,1
13:0:7,2
13:0:8,1
13:0:9,2
13:0:10,1
13:0:10,2
13:0:11,1
13:0:12,2
13:0:12,1
13:0:15,2
13:0:16,1
13:0:28,1
13:0:29,2
13:0:31,1
13:0:33,1
13:0:35,2
13:0:38,3
13:0:39,2
13:0:41,2
13:0:41,1
13:0:42,2
13:0:44,1
13:0:45,1
13:0:49,2
13:0:49,1
13:0:51,2
13:0:53,1
13:0:54,2
13:0:55,3
13:0:56,2
13:1:0,1
13:1:4,1
13:1:6,2
13:1:9,1
13:1:12,2
13:1:14,1
13:1:16,2
13:1:18,1
13:1:19,2
13:1:23,1
13:1:23,2
13:1:38,1
13:1:39,2
13:1:40,1
13:1:42,2
13:1:43,1
13:1:45,2
13:1:49,1
13:1:50,2
13:1:51,1
13:1:52,2
13:1:52,1
13:1:54,2
13:1:55,1
13:1:56,2
13:2:0,1
13:2:1,2
13:2:5,1
13:2:6,2
13:2:9,1
13:2:9,2
13:2:10,1
13:2:12,1
13:2:13,2
13:2:14,1
13:2:15,2
13:2:17,1
13:2:18,2
13:2:19,1
13:2:23,2
13:2:23,1
13:2:24,2
13:2:31,1
13:2:32,2
13:2:34,1
13:2:35,2
13:2:49,1
13:2:49,2
13:2:51,1
13:2:52,2
13:2:53,1
13:2:55,1
13:3:1,1
13:3:4,2
13:3:5,1
13:3:13,2
13:3:14,1
13:4:15,1
13:4:21,2
13:4:22,1
13:4:31,1
