Timestamp,Count
12:43:1,1
12:43:9,1
12:43:19,1
12:46:18,1
12:47:28,1
12:48:48,1
12:52:32,1
12:57:40,1
12:57:49,1
12:57:52,1
12:57:57,2
12:57:58,1
12:58:0,1
12:58:2,2
12:58:4,1
12:59:9,1
12:59:10,1
12:59:12,1
13:0:21,1
13:0:23,1
13:0:24,2
13:0:27,1
13:0:44,1
13:0:47,1
13:0:54,1
13:0:57,2
13:0:58,1
13:1:58,1
13:2:22,1
13:2:24,1
13:2:26,1
13:2:31,2
13:2:31,1
13:2:38,2
13:2:38,1
13:2:39,2
13:2:39,1
13:2:41,2
13:2:41,1
13:2:42,2
13:2:42,1
13:2:52,2
13:2:53,1
13:3:21,2
13:3:22,1
13:4:17,2
13:4:17,1
13:4:48,2
13:4:49,1
13:5:6,2
13:5:7,1
